iter	Logloss
0	0.6463411759
1	0.6088700993
2	0.5749153879
3	0.5536299969
4	0.540036227
5	0.5200863826
6	0.5036487757
7	0.4915280948
8	0.4867716913
9	0.4774497123
10	0.4700231733
11	0.462298417
12	0.456970633
13	0.4516768999
14	0.4478544627
15	0.4438903531
16	0.4401257178
17	0.4366561734
18	0.4343818642
19	0.4309240291
20	0.4295553081
21	0.4272066011
22	0.4251903351
23	0.4231950774
24	0.4212717782
25	0.4190626084
26	0.4175515858
27	0.4155629097
28	0.4139620796
29	0.412931686
30	0.4109229809
31	0.409220195
32	0.4079130739
33	0.4063025958
34	0.404978962
35	0.4034039352
36	0.4024664507
37	0.4016422012
38	0.4005806777
39	0.398555054
40	0.397336366
41	0.3965813628
42	0.3954550213
43	0.3943579864
44	0.3933664511
45	0.3919932248
46	0.391140389
47	0.3899166362
48	0.3891104378
49	0.3880471889
50	0.3865908219
51	0.3859992819
52	0.3854403779
53	0.3845894964
54	0.3836570661
55	0.3830674597
56	0.3819194058
57	0.3809512715
58	0.3801167831
59	0.3796996293
60	0.3788558619
61	0.3779500258
62	0.377236244
63	0.3768426137
64	0.3758623118
65	0.375166881
66	0.3744081718
67	0.3738074936
68	0.3728210506
69	0.3722880473
70	0.3712558758
71	0.3705945411
72	0.3697026258
73	0.3687247579
74	0.367818665
75	0.3670262806
76	0.3665651039
77	0.3650221201
78	0.3643746487
79	0.3638769328
80	0.3631852191
81	0.3622744477
82	0.3619439781
83	0.3610016646
84	0.3604071222
85	0.3595918228
86	0.358941773
87	0.3576721175
88	0.3569843569
89	0.3560907666
90	0.3556346721
91	0.3546773909
92	0.3542327849
93	0.3538067846
94	0.3532546703
95	0.3526498673
96	0.3518098136
97	0.3514504047
98	0.3508534024
99	0.3494708988
100	0.348997506
101	0.3484707398
102	0.347803306
103	0.347317272
104	0.3466888699
105	0.3457116525
106	0.3452367367
107	0.3442367169
108	0.3432300938
109	0.342603092
110	0.3419191281
111	0.3414782895
112	0.3410723062
113	0.3404936716
114	0.3401221594
115	0.3393398157
116	0.3388734299
117	0.3384778717
118	0.337949177
119	0.3371962393
120	0.3365464447
121	0.3359604589
122	0.3355851699
123	0.3349195283
124	0.3343874738
125	0.3337948162
126	0.3332811245
127	0.3322775032
128	0.3318457138
129	0.3314289343
130	0.3307213356
131	0.3302773995
132	0.3296607538
133	0.328949411
134	0.3283999898
135	0.3277709784
136	0.3272955487
137	0.326945438
138	0.3264706104
139	0.3258917581
140	0.3250927019
141	0.3245169699
142	0.3240993561
143	0.3235376996
144	0.3230293583
145	0.3223150575
146	0.3218261373
147	0.3212929357
148	0.32080175
149	0.3202717038
150	0.3197402032
151	0.3191967269
